impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-118547,A587962,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A587962,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Abby,Cat,7 YEARS,Spayed Female,Domestic Shorthair,Tortie,06/22/2019 12:00:00 AM,Received on,2000 W PEAKVIEW DR,ELLENSBURG,WA,98926,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A587962,Image Copyright HLP Inc. 2019,"Received on: 2019-06-22<p/> Found Near: 2000 W PEAKVIEW DR, ELLENSBURG WA 98926<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 7 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118590,A588040,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588040,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Comfrey,Cat,2 WEEKS,Female,Domestic Shorthair,Black,06/24/2019 12:00:00 AM,Received on,10000 SE 240TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588040,Image Copyright HLP Inc. 2019,"Received on: 2019-06-24<p/> Found Near: 10000 SE 240TH ST, KENT WA 98031<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118649,A588140,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Polo,Dead Dog,7 YEARS 1 MONTH,Neutered Male,Miniature Pinscher,Br Brindle / White,06/25/2019 12:00:00 AM,Received on,12000 62ND AVE S,SEATTLE,WA,98178,KING COUNTY,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-06-25<p/> Found Near: 12000 62ND AVE S, SEATTLE WA 98178<p/> Description: Br Brindle / White Neutered Male Miniature Pinscher Dog<p/> Age: 7 YEARS 1 MONTH<p/>",
K19-118645,A588136,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,6 MONTHS,Female,Terrier,Brown / Black,06/25/2019 12:00:00 AM,Received on,13700 24TH AVE S,SEATAC,WA,98168,SEATAC,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-06-25<p/> Found Near: 13700 24TH AVE S, SEATAC WA 98168<p/> Description: Brown / Black Female Terrier Dog<p/> Age: 6 MONTHS<p/>",
K19-118654,A588155,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588155,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gwen,Cat,5 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,06/25/2019 12:00:00 AM,Received on,2400 S 260TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588155,Image Copyright HLP Inc. 2019,"Received on: 2019-06-25<p/> Found Near: 2400 S 260TH ST, KENT WA 98032<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118663,A588187,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588187,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Emma,Dog,NO AGE,Female,Pit Bull,Blue,06/25/2019 12:00:00 AM,Received on,2800 228TH AVE SE,SAMMAMISH,WA,98075,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588187,Image Copyright HLP Inc. 2019,"Received on: 2019-06-25<p/> Found Near: 2800 228TH AVE SE, SAMMAMISH WA 98075<p/> Description: Blue Female Pit Bull Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118704,A588277,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588277,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Henrietta,Cat,3 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,06/26/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588277,Image Copyright HLP Inc. 2019,"Received on: 2019-06-26<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Henrietta and I am available for adoption.<p/><p/>I was brought in by a good samaritan on June 26, 2019.<p/><p/>I am a sweet cat who may need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I may be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be. I would love to go home with a confident kitty friend who can help me come out of my shell!<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-118706,A588279,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588279,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lincoln,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,06/26/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588279,Image Copyright HLP Inc. 2019,"Received on: 2019-06-26<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Lincoln and I am available for adoption.<p/><p/>I was brought in by a good samaritan on June 26, 2019. <p/><p/>I'm a shy and aloof guy but I'm a sweetie and I'm trying to learn to trust a little more. I would prefer a calm home where I will be given love and patience, and lots of hidey spots!<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-118704,A588277,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588277,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Henrietta,Cat,3 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,06/26/2019 12:00:00 AM,Received on,12200 SE KENT KANGLEY RD,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588277,Image Copyright HLP Inc. 2019,"Received on: 2019-06-26<p/> Found Near: 12200 SE KENT KANGLEY RD, KENT WA 98030<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118706,A588279,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588279,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lincoln,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,06/26/2019 12:00:00 AM,Received on,12200 SE KENT KANGLEY RD,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588279,Image Copyright HLP Inc. 2019,"Received on: 2019-06-26<p/> Found Near: 12200 SE KENT KANGLEY RD, KENT WA 98030<p/> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118686,A588247,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Mediumhair,Gray / White,06/26/2019 12:00:00 AM,Received on,12700 SE 274TH ST,KENT,WA,98030,KENT,0,0,,Image Copyright HLP Inc. 2019,"Received on: 2019-06-26<p/> Found Near: 12700 SE 274TH ST, KENT WA 98030<p/> Description: Gray / White Unaltered Domestic Mediumhair Cat<p/> Age: NO AGE<p/>",
K19-118750,A588508,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588508,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cauliflower,Cat,4 YEARS,Neutered Male,Siamese,Flame Pt,06/27/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588508,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Description: Flame Pt<p/>  Neutered Male Siamese Cat<p/> Age: 4 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cauliflower and I am available for adoption.<p/><p/>I was brought in by a good samaritan on June 27, 2019. It has taken me awhile to learn to trust humans in the shelter environment, but I'm learning to enjoy their company.  If you go slow and give me a minute to warm up (or a little wet food) I really enjoy being petted. I'm actually a pretty laid back cat, but I'd prefer to live in a calm environment. <p/><p/>I will make you perfect lap cat if you work on bonding with me. I love to be petted and brushed and will start to knead with my front paws when I'm really enjoying it!<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-118743,A544619,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A544619,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Diesel,Dog,5 YEARS,Neutered Male,Australian Cattle Dog,Red Merle / Black,06/27/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544619,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Description: Red Merle / Black<p/>  Neutered Male Australian Cattle Dog Dog<p/> Age: 5 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Diesel and I am available for adoption.<p/><p/>I was brought in by my previous owner on June 26, 2019 because they had a baby and we were no longer a good fit. I lived in a home with other dogs and kids. But, I am not the best fit with small kids. My previous owner described me as loving, loyal, smart, and playful.<p/><p/>I do love food a lot and sometimes get a bit riled when you feed me. I need someone who will leave me alone while I'm eating and always trade treats for toys. But in all honesty, if you keep my brain busy and my body tired I am the perfect dog! I'm really easy going and enjoy other dogs, especially older dogs that will lounge around with me! I'm a bit shy in this environment but I love getting attention from my humans!<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-118747,A588505,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,2 YEARS,Unaltered,Domestic Shorthair,Gray / White,06/27/2019 12:00:00 AM,Received on,10700 MYERS WAY S,SEATTLE,WA,98168,KING COUNTY,0,0,,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 10700 MYERS WAY S, SEATTLE WA 98168<p/> Description: Gray / White Unaltered Domestic Shorthair Cat<p/> Age: 2 YEARS<p/>",
K19-118735,A588475,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Lilah,Cat,6 WEEKS,Female,Domestic Shorthair,Black / White,06/27/2019 12:00:00 AM,Received on,12400 64TH AVE S,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588475,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 12400 64TH AVE S, SEATTLE WA 98178<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",GREEN
K19-118737,A588477,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,2 WEEKS,Male,Domestic Shorthair,Org Tabby,06/27/2019 12:00:00 AM,Received on,12400 64TH AVE S,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588477,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 12400 64TH AVE S, SEATTLE WA 98178<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-118736,A588476,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,2 WEEKS,Female,Domestic Shorthair,Tortie,06/27/2019 12:00:00 AM,Received on,12400 64TH AVE S,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588476,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 12400 64TH AVE S, SEATTLE WA 98178<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-118750,A588508,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588508,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cauliflower,Cat,4 YEARS,Neutered Male,Siamese,Flame Pt,06/27/2019 12:00:00 AM,Received on,21300 SE 412TH PL,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588508,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 21300 SE 412TH PL, ENUMCLAW WA 98022<p/> Description: Flame Pt Neutered Male Siamese Cat<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118727,A588433,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Wiz,Cat,4 WEEKS,Female,Domestic Shorthair,Black,06/27/2019 12:00:00 AM,Received on,2400 S 260TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588433,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 2400 S 260TH ST, KENT WA 98032<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-118720,A588370,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Hedorah,Cat,10 WEEKS,Male,Domestic Shorthair,Gray,06/27/2019 12:00:00 AM,Received on,2400 S 260TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588370,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 2400 S 260TH ST, KENT WA 98032<p/> Description: Gray Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",BLUE
K19-118734,A588474,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588474,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Legend,Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby,06/27/2019 12:00:00 AM,Received on,25900 129TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588474,Image Copyright HLP Inc. 2019,"Received on: 2019-06-27<p/> Found Near: 25900 129TH PL SE, KENT WA 98030<p/> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118789,A588588,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588588,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Johnny,Cat,4 MONTHS,Neutered Male,Domestic Shorthair,Black / White,06/28/2019 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588588,Image Copyright HLP Inc. 2019,"Received on: 2019-06-28<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Johnny and I am available for adoption.<p/><p/>I was brought in by a good samaritan on June 28, 2019.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-118780,A586900,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A586900,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",April,Cat,10 WEEKS,Spayed Female,Domestic Shorthair,Black / White,06/28/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A586900,Image Copyright HLP Inc. 2019,"Received on: 2019-06-28<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K19-118781,A508479,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A508479,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jax,Dog,7 YEARS 5 MONTHS,Neutered Male,American Bulldog,Blue / White,06/28/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A508479,Image Copyright HLP Inc. 2019,"Received on: 2019-06-28<p/> Description: Blue / White<p/>  Neutered Male American Bulldog Dog<p/> Age: 7 YEARS 5 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jax and I am available for adoption.<p/><p/>I was brought in by my previous owner on 6/28/19 because I did not get along with the other dogs in the house. I lived in a home with other dogs, a cat, and older children. My previous owner described me as shy and anxious.<p/><p/>[Commands]  I am a very smart dog! I have shown my caregivers that I already know how to ""sit"", ""stay"", ""come"", ""down"", ""by me"", and ""leave it"". <p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/>I would do best in a home with older children.<p/>",RED
K19-118769,A588540,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Lazuli,Cat,6 WEEKS,Female,Domestic Shorthair,Black,06/28/2019 12:00:00 AM,Received on,21200 WEST VALLEY HWY S,KENT,WA,98032,KENT,0,0,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588540,Image Copyright HLP Inc. 2019,"Received on: 2019-06-28<p/> Found Near: 21200 WEST VALLEY HWY S, KENT WA 98032<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-118777,A588551,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588551,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fergie,Cat,10 WEEKS,Female,Domestic Shorthair,Lynx Pt,06/28/2019 12:00:00 AM,Received on,24500 RUSSELL RD S,KENT,WA,98032,KENT,47.382628,-122.261312,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588551,Image Copyright HLP Inc. 2019,"Received on: 2019-06-28<p/> Found Near: 24500 RUSSELL RD S, KENT WA 98032<p/> Description: Lynx Pt Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-118789,A588588,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588588,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Johnny,Cat,4 MONTHS,Neutered Male,Domestic Shorthair,Black / White,06/28/2019 12:00:00 AM,Received on,6200 S 242ND PL,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588588,Image Copyright HLP Inc. 2019,"Received on: 2019-06-28<p/> Found Near: 6200 S 242ND PL, KENT WA 98032<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>",BLUE
K19-118814,A588626,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588626,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tyson,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Gray / White,06/29/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588626,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Description: Gray / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Tyson and I am available for adoption.<p/><p/><p/>I was brought in by a good samaritan on 6/29/19.<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.  I can be very affectionate and change my mind in an instant, so please be careful and only pet me for a short time even if I seem to be loving it.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K19-118829,A588635,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588635,"Tukwila Petco 17200 SOUTHCENTER PKWY 100 TUKWILA, WA 98188",Thomasina,Cat,13 YEARS,Spayed Female,Domestic Longhair,Org Tabby,06/29/2019 12:00:00 AM,Received on,17200 SOUTHCENTER PKWY 100,TUKWILA,WA,98188,TUKWILA,47.449119,-122.25821,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588635,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Description: Org Tabby<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 13 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: Tukwila Petco 17200 SOUTHCENTER PKWY 100 TUKWILA, WA 98188<p/>Hi! My name is Thomasina and I am available for adoption.<p/><p/>I was brought in by my previous owner on 6/29/19 because they were moving out of state.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/><p/><p/>",GREEN
K19-118827,A588633,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A588633,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,Tricolor,06/29/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588633,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Description: Tricolor<p/>  Unaltered Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K19-118827,A588633,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588633,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,Tricolor,06/29/2019 12:00:00 AM,Received on,100 W SMITH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588633,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Found Near: 100 W SMITH ST, KENT WA 98032<p/> Description: Tricolor Unaltered Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-118832,A588637,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Stitch,Cat,4 WEEKS,Male,Domestic Shorthair,Black / White,06/29/2019 12:00:00 AM,Received on,10200 SE 225TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588637,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Found Near: 10200 SE 225TH PL, KENT WA 98031<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",BLUE
K19-118814,A588626,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A588626,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tyson,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Gray / White,06/29/2019 12:00:00 AM,Received on,10600 AQUA WAY S,SEATTLE,WA,98168,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A588626,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Found Near: 10600 AQUA WAY S, SEATTLE WA 98168<p/> Description: Gray / White Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-118806,A588623,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Mediumhair,Org Tabby,06/29/2019 12:00:00 AM,Received on,22800 WEST VALLEY HWY S,KENT,WA,98032,KENT,0,0,,Image Copyright HLP Inc. 2019,"Received on: 2019-06-29<p/> Found Near: 22800 WEST VALLEY HWY S, KENT WA 98032<p/> Description: Org Tabby Male Domestic Mediumhair Cat<p/> Age: NO AGE<p/>",
